source_kind,type,name,region,province,municipality,code,status,url,last_updated,enac_office,dossier,latitude,longitude,coordinates_text,public_detail_available,notes
eli,helipad,HELIWEST,Piemonte,Asti,Costigliole d'Asti,EA42,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/heliwest_EA42,17/04/2025,Nord-Ovest,5.1.8.2_2024_301,44.81113889,8.15253333,"44°48'40,10""N - 8°9'9,12""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Lingo,Piemonte,Torino,Torino,EB44,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/lingo_EB44,12/07/2024,Nord-Ovest,5.1.8.2_2024_417,45.03087222,7.66475833,"45°1'51,14""N - 7°39'53,13""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,LONG,Piemonte,Novara,Meina,EA94,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/long_EA94,23/04/2024,Nord-Ovest,5.1.8.2_2024_329,45.79293333,8.54096111,"45°47'34,56""N - 8°32'27,46""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,LU TAZ,PIEMONTE,CUNEO,LIMONE PIEMONTE,EC23,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/lu-taz_EC23,01/04/2025,Nord-Ovest,5.1.8.2_2024_568,44.21302778,7.56826111,"44°12'46,90""N - 7°34'5,74""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ROBASSOMERO,PIEMONTE,TORINO,ROBASSOMERO,EA49,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/robassomero_EA49,19/02/2026,Nord-Ovest,5.1.8.2_2024_306,45.20575278,7.55488611,"45°12'20,71""N - 7°33'17,59""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,STREVI,Piemonte,Alessandria,Strevi,EA56,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/strevi_EA56,09/05/2024,Nord-Ovest,5.1.8.2_2024_486,44.68408333,8.54719444,"44°41'02,70""N - 8°32'49,90""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,X ALP PIEDIMULERA,PIEMONTE,VERBANIA,PIEDIMULERA,EA53,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/x-alp-piedimulera_EA53,16/05/2024,Nord-Ovest,5.1.8.2_2024_404,46.02230833,8.27300833,"46°01'20,31""N - 08°16'22,83""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,PEGASUS 2000,Piemonte,Torino,Busano,EC51,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/piemonte/pegasus-2000_EC51,11/02/2026,Nord-Ovest,5.1.8.2_2025_662,45.31,7.66444444,"45°18'36""N - 7°39'52""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,CELENZA VALFORTORE,PUGLIA,FOGGIA,CELENZA VALFORTORE,EB35,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/puglia/celenza-valfortore_EB35,06/11/2025,Puglia Basilicata,5.1.8.2_2024_352,41.565,14.99861111,"41°33'54""N - 14°59'55""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Elisuperficie del Gargano K.FLY,PUGLIA,FOGGIA,ISCHITELLA,EA75,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/puglia/elisuperficie-del-gargano-k-fly_EA75,03/05/2024,Puglia Basilicata,5.1.8.2_2024_446,41.91111111,15.81138889,"41°54'40""N - 15°48'41""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,AGUSTA,Puglia,Brindisi,Brindisi,EB10,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/puglia/agusta_EB10,28/06/2024,Puglia Basilicata,5.1.8.2_2024_530,40.67305556,17.92166667,"40°40'23""N - 17°55'18""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,FOGGIA,PUGLIA,FOGGIA,FOGGIA,EB34,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/puglia/foggia_EB34,18/07/2024,Puglia Basilicata,5.1.8.2_2024_351,41.42388889,15.53388889,"41°25'26""N - 15°32'02""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Mass. Angiulli Grande,Puglia Basilicata,Taranto,Grottaglie,EA99,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/puglia/mass-angiulli-grande_EA99,27/05/2024,Puglia Basilicata,5.1.8.2_2024_431,40.56701667,17.37825,"40°34'01,26""N - 17°22'41,70""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,MELENDUGNO,PUGLIA,LECCE,MELENDUGNO,EA64,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/puglia/melendugno_EA64,04/02/2025,Puglia Basilicata,5.1.8.2_2024_350,40.24650556,18.43629722,"40°14'47,42""N - 18°26'10,67""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,PESCHICI,PUGLIA,FOGGIA,PESCHICI,EB29,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/puglia/peschici_EB29,04/02/2025,Puglia Basilicata,5.1.8.2_2024_338,41.92814167,16.01281944,"41°55'41,31""N - 16°0'46,15""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,SAN GIOVANNI ROTONDO,PUGLIA,FOGGIA,SAN GIOVANNI ROTONDO,EB33,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/puglia/san-giovanni-rotondo_EB33,04/11/2025,Puglia Basilicata,5.1.8.2_2024_349,41.69372778,15.71078611,"41°41'37,42""N - 15°42'38,83""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,VIESTE,PUGLIA,FOGGIA,VIESTE,EA69,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/puglia/vieste_EA69,03/12/2024,Puglia Basilicata,5.1.8.2_2024_339,41.86644167,16.16513056,"41°51'59,19""N - 16°9'54,47""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ELISUPERFICIE LU SCUPAGLIU,SARDEGNA,SS,SAN TEODORO,EB32,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/elisuperficie-lu-scupagliu_EB32,11/03/2025,Sardegna,5.1.8.2_2024_346,40.80280556,9.65769444,"40°48'10.1""N - 9°39'27.7""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Villa La Contra 2,Sardegna,Sassari,Arzachena,EB39,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/villa-la-contra-2_EB39,13/11/2024,Sardegna,5.1.8.2_2024_405_H2,41.13570556,9.515,"41°8'8,54""N - 9°30'54,00""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,VILLA LA CONTRA,Sardegna,Sassari,Arzachena,EB87,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/villa-la-contra_EB87,13/11/2024,Sardegna,5.1.8.2_2024_405_H1,41.13603333,9.51536389,"41°8'9,72""N - 9°30'55,31""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ARCU DE CHELU,SARDEGNA,SASSARI,ARZACHENA,EC04,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/arcu-de-chelu_EC04,04/11/2024,Sardegna,5.1.8.2_2024_559,41.09045833,9.564225,"41°5'25,65""N - 9°33'51,21""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Phi Beach One,Sardegna,Sassari,Arzachena,EB15,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/phi-beach-one_EB15,05/08/2024,Sardegna,5.1.8.2_2024_538,41.14142222,9.46623889,"41°8'29,12""N - 9°27'58,46""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,BERCHIDDA,SARDEGNA,OLBIA TEMPIO PAUSANIA,Berchidda,EA06,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/berchidda_EA06,25/10/2024,Sardegna,5.1.8.2_2024_294,40.778425,9.17249722,"40°46'42,33""N - 9°10'20,99""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ELISUPERFICIE CALAGRANU,Sardegna,Sassari,ARZACHENA,EC22,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/elisuperficie-calagranu_EC22,25/03/2025,Sardegna,5.1.8.2_2024_576,41.15145278,9.52948056,"41°09'05,23""N - 09°31'46,13""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,San Marco,Sardegna,Sassari,Alghero,EA04,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/san-marco_EA04,31/07/2024,Sardegna,5.1.8.2_2024_529,40.66418889,8.32325278,"40°39'51,08""N - 8°19'23,71""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Elisuperficie La Smeraldina,Sardegna,Sassari,Arzachena,EA54,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/elisuperficie-la-smeraldina_EA54,20/03/2025,Sardegna,5.1.8.2_2024_487,41.066425,9.43179444,"41°3'59,13""N - 9°25'54,46""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Smeraldina 2,Sardegna,Sassari,Arzachena,EA55,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/smeraldina-2_EA55,17/06/2024,Sardegna,5.1.8.2_2024_488,41.07583333,9.43361111,"41°04'33""N - 09°26'01""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Cardinalino,Sardegna,Sassari,Palau,EB97,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/cardinalino_EB97,16/08/2024,Sardegna,5.1.8.2_2024_280,41.17142778,9.42219444,"41°10'17,14""N - 9°25'19,90""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ERICA,Sardegna,Sassari,Santa Teresa Gallura,EB98,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sardegna/erica_EB98,30/08/2024,Sardegna,5.1.8.2_2024_281,41.226025,9.27939444,"41°13'33,69""N - 9°16'45,82""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,C.te GIAN BRUNO MINGIARDI,Sicilia-Orientale,Messina,Lipari,EB50,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sicilia/c-te-gian-bruno-mingiardi_EB50,02/12/2024,Sicilia Orientale,5.1.8.2_2024_424,38.64600833,15.0707,"38°38'45,63""N - 15°4'14,52""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
